,joe,bool,First,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
71,,True,5,46.0,935.0,297.0,582.0,277.0,0.7286,95200.0,NEAR BAY
72,,True,5,49.0,844.0,204.0,560.0,152.0,1.75,75000.0,NEAR BAY
73,,True,5,46.0,12.0,4.0,18.0,7.0,0.4999,67500.0,NEAR BAY
74,,True,5,20.0,835.0,161.0,290.0,133.0,2.483,137500.0,NEAR BAY
75,,True,5,17.0,1237.0,462.0,762.0,439.0,0.9241,177500.0,NEAR BAY
76,,True,5,36.0,2914.0,562.0,1236.0,509.0,2.4464,102100.0,NEAR BAY
77,,True,5,19.0,1207.0,243.0,721.0,207.0,1.1111,108300.0,NEAR BAY
78,,True,5,23.0,1745.0,374.0,1054.0,325.0,0.8026,112500.0,NEAR BAY
79,,True,5,38.0,684.0,176.0,344.0,155.0,2.0114,131300.0,NEAR BAY
80,,True,5,17.0,924.0,289.0,609.0,289.0,1.5,162500.0,NEAR BAY
81,,True,5,52.0,210.0,56.0,183.0,56.0,1.1667,112500.0,NEAR BAY
82,,True,5,52.0,340.0,97.0,200.0,87.0,1.5208,112500.0,NEAR BAY
83,,True,5,52.0,386.0,164.0,346.0,155.0,0.8075,137500.0,NEAR BAY
84,,True,5,35.0,948.0,184.0,467.0,169.0,1.8088,118800.0,NEAR BAY
85,,True,5,52.0,773.0,143.0,377.0,115.0,2.4083,98200.0,NEAR BAY
86,,True,5,40.0,880.0,451.0,582.0,380.0,0.977,118800.0,NEAR BAY
87,,True,5,10.0,875.0,348.0,546.0,330.0,0.76,162500.0,NEAR BAY
88,,True,5,10.0,105.0,42.0,125.0,39.0,0.9722,137500.0,NEAR BAY
89,,True,5,52.0,249.0,78.0,396.0,85.0,1.2434,500001.0,NEAR BAY
90,,True,5,16.0,994.0,392.0,800.0,362.0,2.0938,162500.0,NEAR BAY
91,,True,5,52.0,215.0,87.0,904.0,88.0,0.8668,137500.0,NEAR BAY
92,,True,5,52.0,96.0,31.0,191.0,34.0,0.75,162500.0,NEAR BAY
93,,True,5,27.0,1055.0,347.0,718.0,302.0,2.6354,187500.0,NEAR BAY
94,,True,5,39.0,1715.0,623.0,1327.0,467.0,1.8477,179200.0,NEAR BAY
95,,True,5,36.0,5329.0,2477.0,3469.0,2323.0,2.0096,130000.0,NEAR BAY
96,,True,5,31.0,4596.0,1331.0,2048.0,1180.0,2.8345,183800.0,NEAR BAY
97,,True,5,29.0,335.0,107.0,202.0,91.0,2.0062,125000.0,NEAR BAY
98,,True,5,22.0,3682.0,1270.0,2024.0,1250.0,1.2185,170000.0,NEAR BAY
99,,True,5,37.0,3633.0,1085.0,1838.0,980.0,2.6104,193100.0,NEAR BAY
100,,True,5,29.0,4656.0,1414.0,2304.0,1250.0,2.4912,257800.0,NEAR BAY
101,,True,5,28.0,5806.0,1603.0,2563.0,1497.0,3.2177,273400.0,NEAR BAY
102,,True,5,39.0,854.0,242.0,389.0,228.0,3.125,237500.0,NEAR BAY
103,,True,5,52.0,2155.0,701.0,895.0,613.0,2.5795,350000.0,NEAR BAY
104,,True,5,34.0,5871.0,1914.0,2689.0,1789.0,2.8406,335700.0,NEAR BAY
105,,True,5,52.0,1509.0,225.0,674.0,244.0,4.9306,313400.0,NEAR BAY
106,,True,5,52.0,2026.0,482.0,709.0,456.0,3.2727,268500.0,NEAR BAY
107,,True,5,52.0,1758.0,460.0,686.0,422.0,3.1691,259400.0,NEAR BAY
108,,True,5,52.0,3481.0,751.0,1444.0,718.0,3.9,275700.0,NEAR BAY
109,,True,5,28.0,3337.0,855.0,1520.0,802.0,3.9063,225000.0,NEAR BAY
110,,True,5,52.0,1424.0,289.0,550.0,253.0,5.0917,262500.0,NEAR BAY
111,,True,5,32.0,3809.0,1098.0,1806.0,1022.0,2.6429,218500.0,NEAR BAY
112,,True,5,26.0,3959.0,1196.0,1749.0,1217.0,3.0233,255000.0,NEAR BAY
113,,True,5,52.0,2376.0,559.0,939.0,519.0,3.1484,224100.0,NEAR BAY
114,,True,5,35.0,1613.0,428.0,675.0,422.0,3.4722,243100.0,NEAR BAY
115,,True,5,52.0,1279.0,287.0,534.0,291.0,3.1429,231600.0,NEAR BAY
116,,True,5,28.0,5022.0,1750.0,2558.0,1661.0,2.4234,218500.0,NEAR BAY
117,,True,5,52.0,4190.0,1105.0,1786.0,1037.0,3.0897,234100.0,NEAR BAY
118,,True,5,50.0,2515.0,399.0,970.0,373.0,5.8596,327600.0,NEAR BAY
119,,True,5,47.0,3175.0,454.0,1098.0,485.0,5.2868,347600.0,NEAR BAY
120,,True,5,41.0,2576.0,406.0,794.0,376.0,5.956,366100.0,NEAR BAY
121,,True,5,37.0,334.0,54.0,98.0,47.0,4.9643,335000.0,NEAR BAY
122,,True,5,52.0,2800.0,411.0,1061.0,403.0,6.3434,373600.0,NEAR BAY
123,,True,5,52.0,3529.0,574.0,1177.0,555.0,5.1773,389500.0,NEAR BAY
124,,True,5,52.0,2612.0,365.0,901.0,367.0,7.2354,391100.0,NEAR BAY
125,,True,5,28.0,5287.0,1048.0,2031.0,956.0,5.457,337300.0,NEAR BAY
126,,True,5,50.0,2935.0,473.0,1031.0,479.0,7.5,295200.0,NEAR BAY
127,,True,5,44.0,3424.0,597.0,1358.0,597.0,6.0194,292300.0,NEAR BAY
128,,True,5,40.0,4991.0,674.0,1616.0,654.0,7.5544,411500.0,NEAR BAY
129,,True,5,30.0,2211.0,346.0,844.0,343.0,6.0666,311500.0,NEAR BAY
130,,True,5,34.0,3038.0,490.0,1140.0,496.0,7.0548,325900.0,NEAR BAY
131,,True,5,18.0,1617.0,210.0,533.0,194.0,11.6017,392600.0,NEAR BAY
132,,True,5,35.0,2865.0,460.0,1072.0,443.0,7.4882,319300.0,NEAR BAY
133,,True,5,34.0,5065.0,788.0,1627.0,766.0,6.8976,333300.0,NEAR BAY
134,,True,5,28.0,1326.0,184.0,463.0,190.0,8.2049,335200.0,NEAR BAY
135,,True,5,26.0,1589.0,223.0,542.0,211.0,8.401,351200.0,NEAR BAY
136,,True,5,29.0,1791.0,271.0,661.0,269.0,6.8538,368900.0,NEAR BAY
137,,True,5,32.0,1835.0,264.0,635.0,263.0,8.317,365900.0,NEAR BAY
138,,True,5,37.0,1229.0,181.0,420.0,176.0,7.0175,366700.0,NEAR BAY
139,,True,5,39.0,3770.0,534.0,1265.0,500.0,6.3302,362800.0,NEAR BAY
140,,True,5,30.0,292.0,38.0,126.0,52.0,6.3624,483300.0,NEAR BAY
141,,True,5,52.0,2375.0,333.0,813.0,350.0,7.0549,331400.0,NEAR BAY
142,,True,5,45.0,2964.0,436.0,1067.0,426.0,6.7851,323500.0,NEAR BAY
143,,True,5,50.0,2833.0,605.0,1260.0,552.0,2.8929,216700.0,NEAR BAY
144,,True,5,38.0,2254.0,535.0,951.0,487.0,3.0812,233100.0,NEAR BAY
145,,True,5,52.0,1389.0,212.0,510.0,224.0,5.2402,296400.0,NEAR BAY
146,,True,5,52.0,1971.0,335.0,765.0,308.0,6.5217,273700.0,NEAR BAY
147,,True,5,52.0,2183.0,465.0,1129.0,460.0,3.2632,227700.0,NEAR BAY
148,,True,5,52.0,2286.0,464.0,1073.0,441.0,3.0298,199600.0,NEAR BAY
149,,True,5,52.0,2721.0,541.0,1185.0,515.0,4.5428,239800.0,NEAR BAY
150,,True,5,52.0,2024.0,339.0,756.0,340.0,4.072,270100.0,NEAR BAY
151,,True,5,52.0,2944.0,536.0,1034.0,521.0,5.3509,302100.0,NEAR BAY
152,,True,5,52.0,2033.0,486.0,787.0,459.0,3.1603,269500.0,NEAR BAY
153,,True,5,52.0,1433.0,229.0,612.0,213.0,4.7708,314700.0,NEAR BAY
154,,True,5,52.0,2927.0,402.0,1021.0,380.0,8.1564,390100.0,NEAR BAY
155,,True,5,52.0,2315.0,292.0,861.0,258.0,8.8793,410300.0,NEAR BAY
156,,True,5,52.0,2485.0,313.0,953.0,327.0,6.8591,352400.0,NEAR BAY
157,,True,5,52.0,1490.0,238.0,634.0,256.0,6.0302,287300.0,NEAR BAY
158,,True,5,52.0,2814.0,365.0,878.0,352.0,7.508,348700.0,NEAR BAY
159,,True,5,52.0,2093.0,550.0,918.0,483.0,2.7477,243800.0,NEAR BAY
160,,True,5,52.0,888.0,168.0,360.0,175.0,2.1944,211500.0,NEAR BAY
161,,True,5,52.0,2087.0,510.0,1197.0,488.0,3.0149,218400.0,NEAR BAY
162,,True,5,52.0,2513.0,502.0,1048.0,518.0,3.675,269900.0,NEAR BAY
163,,True,5,46.0,3232.0,835.0,1373.0,747.0,3.225,218800.0,NEAR BAY
164,,True,5,42.0,4120.0,1065.0,1715.0,1015.0,2.9345,225000.0,NEAR BAY
165,,True,5,43.0,2364.0,792.0,1359.0,722.0,2.1429,250000.0,NEAR BAY
166,,True,5,41.0,1471.0,469.0,1062.0,413.0,1.6121,171400.0,NEAR BAY
167,,True,5,29.0,2468.0,864.0,1335.0,773.0,1.3929,193800.0,NEAR BAY
168,,True,5,27.0,1632.0,492.0,1171.0,429.0,2.3173,125000.0,NEAR BAY
169,,True,5,45.0,1786.0,526.0,1475.0,460.0,1.7772,97500.0,NEAR BAY
170,,True,5,50.0,629.0,188.0,742.0,196.0,2.6458,125000.0,NEAR BAY
171,,True,5,52.0,1339.0,391.0,1086.0,363.0,2.181,138800.0,NEAR BAY
172,,True,5,36.0,1678.0,606.0,1645.0,543.0,2.2303,116700.0,NEAR BAY
173,,True,5,43.0,2344.0,647.0,1710.0,644.0,1.6504,151800.0,NEAR BAY
174,,True,5,52.0,996.0,228.0,731.0,228.0,2.2697,127000.0,NEAR BAY
175,,True,5,52.0,1591.0,373.0,1118.0,347.0,2.1563,128600.0,NEAR BAY
176,,True,5,52.0,1586.0,398.0,1006.0,335.0,2.1348,140600.0,NEAR BAY
177,,True,5,47.0,2046.0,588.0,1213.0,554.0,2.6292,182700.0,NEAR BAY
178,,True,5,52.0,1192.0,289.0,772.0,257.0,2.3833,146900.0,NEAR BAY
179,,True,5,52.0,1803.0,420.0,1321.0,401.0,2.957,122800.0,NEAR BAY
180,,True,5,49.0,2838.0,749.0,1487.0,677.0,2.5238,169300.0,NEAR BAY
181,,True,5,52.0,783.0,184.0,488.0,186.0,1.9375,126600.0,NEAR BAY
182,,True,5,51.0,1590.0,414.0,949.0,392.0,1.9028,127900.0,NEAR BAY
183,,True,5,50.0,1746.0,480.0,1149.0,415.0,2.25,123500.0,NEAR BAY
184,,True,5,52.0,1252.0,299.0,844.0,280.0,2.3929,111900.0,NEAR BAY
185,,True,5,43.0,5963.0,1344.0,4367.0,1231.0,2.1917,112800.0,NEAR BAY
186,,True,5,52.0,1783.0,395.0,1659.0,412.0,2.9357,107900.0,NEAR BAY
187,,True,5,30.0,999.0,264.0,1011.0,263.0,1.8854,137500.0,NEAR BAY
188,,True,5,39.0,1469.0,431.0,1464.0,389.0,2.1638,105500.0,NEAR BAY
189,,True,5,47.0,1372.0,395.0,1237.0,303.0,2.125,95500.0,NEAR BAY
190,,True,5,52.0,674.0,180.0,647.0,168.0,3.375,116100.0,NEAR BAY
191,,True,5,43.0,1626.0,376.0,1284.0,357.0,2.2542,112200.0,NEAR BAY
192,,True,5,51.0,175.0,43.0,228.0,55.0,2.1,75000.0,NEAR BAY
193,,True,5,39.0,461.0,129.0,381.0,123.0,1.6,112500.0,NEAR BAY
194,,True,5,52.0,902.0,237.0,846.0,227.0,3.625,125000.0,NEAR BAY
195,,True,5,20.0,2373.0,779.0,1659.0,676.0,1.6929,115000.0,NEAR BAY
196,,True,5,52.0,391.0,128.0,520.0,138.0,1.6471,95000.0,NEAR BAY
197,,True,5,52.0,1137.0,301.0,866.0,259.0,2.59,96400.0,NEAR BAY
198,,True,5,52.0,769.0,206.0,612.0,183.0,2.57,72000.0,NEAR BAY
199,,True,5,52.0,472.0,146.0,415.0,126.0,2.6429,71300.0,NEAR BAY
200,,True,5,52.0,862.0,215.0,994.0,213.0,3.0257,80800.0,NEAR BAY
201,,True,5,50.0,1920.0,530.0,1525.0,477.0,1.4886,128800.0,NEAR BAY
202,,True,5,43.0,1420.0,472.0,1506.0,438.0,1.9338,112500.0,NEAR BAY
203,,True,5,52.0,986.0,258.0,1008.0,255.0,1.4844,119400.0,NEAR BAY
204,,True,5,44.0,2340.0,825.0,2813.0,751.0,1.6009,118100.0,NEAR BAY
205,,True,5,48.0,1696.0,396.0,1481.0,343.0,2.0375,122500.0,NEAR BAY
206,,True,5,49.0,1175.0,217.0,859.0,219.0,2.293,106300.0,NEAR BAY
207,,True,5,37.0,2343.0,574.0,1608.0,523.0,2.1494,132500.0,NEAR BAY
208,,True,5,30.0,610.0,145.0,425.0,140.0,1.6198,122700.0,NEAR BAY
209,,True,5,40.0,930.0,199.0,564.0,184.0,1.3281,113300.0,NEAR BAY
210,,True,5,44.0,1487.0,314.0,961.0,272.0,3.5156,109500.0,NEAR BAY
211,,True,5,52.0,3424.0,690.0,2273.0,685.0,3.9048,164700.0,NEAR BAY
212,,True,5,52.0,762.0,190.0,600.0,195.0,3.0893,125000.0,NEAR BAY
213,,True,5,46.0,2366.0,575.0,1647.0,527.0,2.6042,124700.0,NEAR BAY
214,,True,5,49.0,1826.0,450.0,1201.0,424.0,2.5,136700.0,NEAR BAY
215,,True,5,38.0,3049.0,711.0,2167.0,659.0,2.7969,141700.0,NEAR BAY
216,,True,5,29.0,1640.0,376.0,939.0,340.0,2.8321,150000.0,NEAR BAY
217,,True,5,47.0,1543.0,307.0,859.0,292.0,2.9583,138800.0,NEAR BAY
218,,True,5,34.0,2364.0,557.0,1517.0,516.0,2.8365,139200.0,NEAR BAY
219,,True,5,35.0,1745.0,409.0,1143.0,386.0,2.875,143800.0,NEAR BAY
220,,True,5,39.0,2003.0,500.0,1109.0,464.0,3.0682,156500.0,NEAR BAY
221,,True,5,39.0,2018.0,447.0,1221.0,446.0,3.0757,151000.0,NEAR BAY
222,,True,5,43.0,3045.0,499.0,1115.0,455.0,4.9559,273000.0,NEAR BAY
223,,True,5,52.0,1547.0,293.0,706.0,268.0,4.7721,217100.0,NEAR BAY
224,,True,5,52.0,3519.0,711.0,1883.0,706.0,3.4861,187100.0,NEAR BAY
225,,True,5,41.0,2070.0,354.0,804.0,340.0,5.1184,239600.0,NEAR BAY
226,,True,5,48.0,1321.0,263.0,506.0,252.0,4.0977,229700.0,NEAR BAY
227,,True,5,48.0,1694.0,259.0,610.0,238.0,4.744,257300.0,NEAR BAY
228,,True,5,46.0,1938.0,341.0,768.0,332.0,4.2727,246900.0,NEAR BAY
229,,True,5,50.0,968.0,195.0,462.0,184.0,2.9844,179900.0,NEAR BAY
230,,True,5,40.0,1060.0,256.0,667.0,235.0,4.1739,169600.0,NEAR BAY
231,,True,5,46.0,2041.0,405.0,1059.0,399.0,3.8487,203300.0,NEAR BAY
232,,True,5,52.0,1813.0,271.0,637.0,277.0,4.0114,263400.0,NEAR BAY
233,,True,5,45.0,2718.0,451.0,1106.0,454.0,4.6563,231800.0,NEAR BAY
234,,True,5,28.0,3144.0,761.0,1737.0,669.0,2.9297,140500.0,NEAR BAY
235,,True,5,35.0,1802.0,459.0,1009.0,390.0,2.3036,126000.0,NEAR BAY
236,,True,5,49.0,882.0,195.0,737.0,210.0,2.6667,122000.0,NEAR BAY
237,,True,5,44.0,1621.0,452.0,1354.0,491.0,2.619,134700.0,NEAR BAY
238,,True,5,45.0,2115.0,533.0,1530.0,474.0,2.4167,139400.0,NEAR BAY
239,,True,5,45.0,2021.0,528.0,1410.0,480.0,2.7788,115400.0,NEAR BAY
240,,True,5,46.0,2239.0,508.0,1390.0,569.0,2.7352,137300.0,NEAR BAY
241,,True,5,52.0,1477.0,300.0,1065.0,269.0,1.8472,137000.0,NEAR BAY
242,,True,5,52.0,1056.0,224.0,792.0,245.0,2.6583,142600.0,NEAR BAY
243,,True,5,49.0,898.0,244.0,779.0,245.0,3.0536,137500.0,NEAR BAY
244,,True,5,44.0,2968.0,710.0,2269.0,610.0,2.3906,111700.0,NEAR BAY
245,,True,5,43.0,1702.0,460.0,1227.0,407.0,1.7188,126800.0,NEAR BAY
246,,True,5,47.0,881.0,248.0,753.0,241.0,2.625,111300.0,NEAR BAY
247,,True,5,40.0,494.0,114.0,547.0,135.0,2.8015,114800.0,NEAR BAY
248,,True,5,50.0,1776.0,473.0,1807.0,440.0,1.7276,102300.0,NEAR BAY
249,,True,5,44.0,1678.0,514.0,1700.0,495.0,2.0801,131900.0,NEAR BAY
250,,True,5,51.0,1637.0,463.0,1543.0,393.0,2.489,119100.0,NEAR BAY
251,,True,5,52.0,1420.0,314.0,1085.0,300.0,1.7546,80600.0,NEAR BAY
252,,True,5,52.0,591.0,173.0,353.0,137.0,4.0904,80600.0,NEAR BAY
253,,True,5,52.0,745.0,153.0,473.0,149.0,2.6765,88800.0,NEAR BAY
254,,True,5,49.0,2272.0,498.0,1621.0,483.0,2.4338,102400.0,NEAR BAY
255,,True,5,46.0,1234.0,375.0,1183.0,354.0,2.3309,98700.0,NEAR BAY
256,,True,5,43.0,1017.0,328.0,836.0,277.0,2.2604,100000.0,NEAR BAY
257,,True,5,42.0,932.0,254.0,900.0,263.0,1.8039,92300.0,NEAR BAY
258,,True,5,39.0,2689.0,597.0,1888.0,537.0,2.2562,94800.0,NEAR BAY
259,,True,5,41.0,1547.0,415.0,1024.0,341.0,2.0562,102000.0,NEAR BAY
260,,True,5,52.0,2300.0,443.0,1225.0,423.0,3.5398,158400.0,NEAR BAY
261,,True,5,39.0,1752.0,399.0,1071.0,376.0,3.1167,121600.0,NEAR BAY
262,,True,5,50.0,1867.0,403.0,1128.0,378.0,2.5401,129100.0,NEAR BAY
263,,True,5,43.0,2430.0,502.0,1537.0,484.0,2.898,121400.0,NEAR BAY
264,,True,5,44.0,1729.0,414.0,1240.0,393.0,2.3125,102800.0,NEAR BAY
265,,True,5,52.0,1026.0,180.0,469.0,168.0,2.875,160000.0,NEAR BAY
266,,True,5,52.0,2170.0,428.0,1086.0,425.0,3.3715,143900.0,NEAR BAY
267,,True,5,52.0,2329.0,445.0,1144.0,417.0,3.5114,151200.0,NEAR BAY
268,,True,5,52.0,2492.0,415.0,1109.0,375.0,4.3125,164400.0,NEAR BAY
269,,True,5,52.0,2198.0,397.0,984.0,369.0,3.22,156500.0,NEAR BAY
270,,True,5,33.0,142.0,31.0,575.0,47.0,3.875,225000.0,NEAR BAY
271,,True,5,49.0,1183.0,205.0,496.0,209.0,5.2328,174200.0,NEAR BAY
272,,True,5,52.0,1070.0,193.0,555.0,190.0,3.7262,166900.0,NEAR BAY
273,,True,5,45.0,1766.0,332.0,869.0,327.0,4.5893,163500.0,NEAR BAY
274,,True,5,39.0,617.0,95.0,236.0,106.0,5.2578,253000.0,NEAR BAY
275,,True,5,41.0,1411.0,233.0,626.0,214.0,7.0875,240700.0,NEAR BAY
276,,True,5,46.0,2109.0,387.0,922.0,329.0,3.9712,208100.0,NEAR BAY
277,,True,5,47.0,1229.0,243.0,582.0,256.0,2.9514,198100.0,NEAR BAY
278,,True,5,50.0,954.0,217.0,546.0,201.0,2.6667,172800.0,NEAR BAY
279,,True,5,37.0,1643.0,262.0,620.0,266.0,5.4446,336700.0,NEAR BAY
280,,True,5,34.0,1355.0,195.0,442.0,195.0,6.2838,318200.0,NEAR BAY
281,,True,5,23.0,2317.0,336.0,955.0,328.0,6.7527,285800.0,NEAR BAY
282,,True,5,24.0,2459.0,317.0,916.0,324.0,7.0712,293000.0,NEAR BAY
283,,True,5,22.0,12842.0,2048.0,4985.0,1967.0,5.9849,371000.0,NEAR BAY
284,,True,5,42.0,1524.0,260.0,651.0,267.0,3.6875,157300.0,NEAR BAY
285,,True,5,30.0,3326.0,746.0,1704.0,703.0,2.875,135300.0,NEAR BAY
286,,True,5,43.0,1985.0,440.0,1085.0,407.0,3.4205,136700.0,NEAR BAY
287,,True,5,50.0,1642.0,322.0,713.0,284.0,3.2984,160700.0,NEAR BAY
288,,True,5,49.0,893.0,177.0,468.0,181.0,3.875,140600.0,NEAR BAY
289,,True,5,52.0,653.0,128.0,296.0,121.0,4.175,144000.0,NEAR BAY
290,,True,5,47.0,1256.0,,570.0,218.0,4.375,161900.0,NEAR BAY
291,,True,5,48.0,977.0,194.0,446.0,180.0,4.7708,156300.0,NEAR BAY
292,,True,5,45.0,2324.0,397.0,968.0,384.0,3.5739,176000.0,NEAR BAY
293,,True,5,39.0,1583.0,349.0,857.0,316.0,3.0958,145800.0,NEAR BAY
294,,True,5,39.0,1612.0,342.0,912.0,322.0,3.3958,141900.0,NEAR BAY
295,,True,5,31.0,2424.0,533.0,1360.0,452.0,1.871,90700.0,NEAR BAY
296,,True,5,41.0,1594.0,367.0,1074.0,355.0,1.9356,90600.0,NEAR BAY
297,,True,5,47.0,2118.0,413.0,965.0,382.0,2.1842,107900.0,NEAR BAY
298,,True,5,37.0,1575.0,358.0,933.0,320.0,2.2917,107000.0,NEAR BAY
299,,True,5,38.0,1764.0,397.0,987.0,354.0,2.4333,98200.0,NEAR BAY
300,,True,5,50.0,1187.0,261.0,907.0,246.0,1.9479,89500.0,NEAR BAY
